AB	0	0
AC	1	0.00308373279259103
AC+AD	1	0.00308373279259103
AD	40	0.283092973899543
AE	5	0.00626445523442395
AE+AF	5	0.00626445523442395
AF	18	0.118679535611194
M	3	0.0236181242692373
M+N	1	7.4606381445214e-07
M+O	0	0
N	13	0.136607260963027
O	0	0
P	9	0.0437895867288808
P+Q	1	0.00225453133056256
Q	2	0.00479251030948682
R	3	0.00392352068584858
R+S	3	0.00392352068584858
S	26	0.191719350480247
T	0	0
T+U	0	0
U	25	0.200117222262443
V	0	0
V+W	0	0
W	25	0.214291091084405
X	16	0.0975179365813775
X+Y	9	0.0771399408578763
Y	31	0.306895480390716
Z	1	5.40988147913241e-07
Z+AB	0	0
