#Genome	Step1	Step2	Taxonomic Group	Coverage value(average)
DeMMO5_1	C-S-01:Organic carbon oxidation	C-S-02:Carbon fixation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	C-S-04:Acetate oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	C-S-06:Fermentation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	C-S-09:Hydrogen oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	N-S-01:Nitrogen fixation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	N-S-04:Nitrate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	N-S-05:Nitrite reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	N-S-06:Nitric oxide reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	N-S-08:Nitrite ammonification	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	O-S-02:Arsenate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	S-S-01:Sulfide oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	S-S-03:Sulfur oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	S-S-04:Sulfite oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	S-S-05:Sulfate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	S-S-08:Thiosulfate disproportionation 1	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-01:Organic carbon oxidation	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	C-S-04:Acetate oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	C-S-06:Fermentation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	C-S-09:Hydrogen oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	N-S-01:Nitrogen fixation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	N-S-04:Nitrate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	N-S-05:Nitrite reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	N-S-06:Nitric oxide reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	N-S-08:Nitrite ammonification	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	O-S-02:Arsenate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	S-S-01:Sulfide oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	S-S-03:Sulfur oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	S-S-04:Sulfite oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	S-S-05:Sulfate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	S-S-08:Thiosulfate disproportionation 1	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-02:Carbon fixation	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	C-S-06:Fermentation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	C-S-09:Hydrogen oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	N-S-01:Nitrogen fixation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	N-S-04:Nitrate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	N-S-05:Nitrite reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	N-S-06:Nitric oxide reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	N-S-08:Nitrite ammonification	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	O-S-02:Arsenate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	S-S-01:Sulfide oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	S-S-03:Sulfur oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	S-S-04:Sulfite oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	S-S-05:Sulfate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	S-S-08:Thiosulfate disproportionation 1	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-04:Acetate oxidation	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	C-S-09:Hydrogen oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	N-S-01:Nitrogen fixation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	N-S-04:Nitrate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	N-S-05:Nitrite reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	N-S-06:Nitric oxide reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	N-S-08:Nitrite ammonification	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	O-S-02:Arsenate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	S-S-01:Sulfide oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	S-S-03:Sulfur oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	S-S-04:Sulfite oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	S-S-05:Sulfate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	S-S-08:Thiosulfate disproportionation 1	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-06:Fermentation	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-09:Hydrogen oxidation	N-S-01:Nitrogen fixation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-09:Hydrogen oxidation	N-S-04:Nitrate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-09:Hydrogen oxidation	N-S-05:Nitrite reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-09:Hydrogen oxidation	N-S-06:Nitric oxide reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-09:Hydrogen oxidation	N-S-08:Nitrite ammonification	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-09:Hydrogen oxidation	O-S-02:Arsenate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-09:Hydrogen oxidation	S-S-01:Sulfide oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-09:Hydrogen oxidation	S-S-03:Sulfur oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-09:Hydrogen oxidation	S-S-04:Sulfite oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-09:Hydrogen oxidation	S-S-05:Sulfate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-09:Hydrogen oxidation	S-S-08:Thiosulfate disproportionation 1	Nitrospirota	0.0261725798776141
DeMMO5_1	C-S-09:Hydrogen oxidation	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-01:Nitrogen fixation	N-S-04:Nitrate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-01:Nitrogen fixation	N-S-05:Nitrite reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-01:Nitrogen fixation	N-S-06:Nitric oxide reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-01:Nitrogen fixation	N-S-08:Nitrite ammonification	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-01:Nitrogen fixation	O-S-02:Arsenate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-01:Nitrogen fixation	S-S-01:Sulfide oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-01:Nitrogen fixation	S-S-03:Sulfur oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-01:Nitrogen fixation	S-S-04:Sulfite oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-01:Nitrogen fixation	S-S-05:Sulfate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-01:Nitrogen fixation	S-S-08:Thiosulfate disproportionation 1	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-01:Nitrogen fixation	S-S-09:Thiosulfate disproportionation 2	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-04:Nitrate reduction	N-S-05:Nitrite reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-04:Nitrate reduction	N-S-06:Nitric oxide reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-04:Nitrate reduction	N-S-08:Nitrite ammonification	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-04:Nitrate reduction	O-S-02:Arsenate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-04:Nitrate reduction	S-S-01:Sulfide oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-04:Nitrate reduction	S-S-03:Sulfur oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-04:Nitrate reduction	S-S-04:Sulfite oxidation	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-04:Nitrate reduction	S-S-05:Sulfate reduction	Nitrospirota	0.0261725798776141
DeMMO5_1	N-S-04:Nitrate reduction	S-S-08:Thiosulfate disproportionation 1	Nitrospirota	0.0261725798776141
