# Constructed from biom file
#OTU ID	D1	D3	WC	D5	SW	D4	D6	D2	taxonomy
OTU_196	0.0	485.0	0.0	0.0	0.0	0.0	0.0	162.0	D_0__Bacteria; D_1__Zixibacteria; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_63	14.0	1487.0	4.0	0.0	0.0	31.0	0.0	1.0	D_0__Bacteria; D_1__Omnitrophicaeota
OTU_59	33.0	16.0	0.0	0.0	0.0	0.0	0.0	1588.0	D_0__Bacteria; D_1__Omnitrophicaeota; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_286	0.0	267.0	1.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Desulfobacterales; D_4__Desulfobulbaceae; D_5__uncultured
OTU_450	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Gemmatimonadetes; D_2__Gemmatimonadetes; D_3__Gemmatimonadales; D_4__Gemmatimonadaceae; D_5__uncultured
OTU_34	241.0	2065.0	7.0	1.0	0.0	1.0	0.0	1883.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Desulfobacterales; D_4__Desulfobacteraceae
OTU_87	63.0	58.0	3.0	51.0	152.0	935.0	0.0	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Sphingomonadales; D_4__Sphingomonadaceae; D_5__Sphingopyxis
OTU_56	47.0	828.0	12.0	29.0	34.0	220.0	0.0	1542.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Hydrogenophilaceae; D_5__Thiobacillus
OTU_4446	81.0	282.0	0.0	1.0	0.0	0.0	1.0	2978.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria
OTU_3165	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Nitrosomonadaceae; D_5__MND1
OTU_418	0.0	0.0	407.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rickettsiales; D_4__Rickettsiaceae; D_5__Candidatus Megaira
OTU_3	440.0	1447.0	2.0	4479.0	0.0	40.0	66.0	5062.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria
OTU_6	6298.0	0.0	103.0	0.0	0.0	30.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Pseudomonadales; D_4__Pseudomonadaceae; D_5__Pseudomonas
OTU_7	1084.0	0.0	205.0	3.0	1022.0	6479.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Aquabacterium
OTU_44	5.0	0.0	1.0	0.0	0.0	0.0	2092.0	0.0	D_0__Bacteria; D_1__Patescibacteria; D_2__Parcubacteria
OTU_37	12.0	1.0	4.0	1.0	0.0	18.0	2697.0	1.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteria; D_3__Ignavibacteriales; D_4__Melioribacteraceae
OTU_377	2.0	74.0	0.0	158.0	0.0	82.0	0.0	17.0	D_0__Bacteria; D_1__Actinobacteria; D_2__RBG-16-55-12; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_165	0.0	0.0	0.0	586.0	0.0	11.0	0.0	0.0	D_0__Archaea; D_1__Hydrothermarchaeota; D_2__uncultured archaeon; D_3__uncultured archaeon; D_4__uncultured archaeon; D_5__uncultured archaeon; D_6__uncultured archaeon
OTU_49	0.0	0.0	76.0	0.0	1705.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Reyranellales; D_4__Reyranellaceae; D_5__Reyranella
OTU_102	0.0	0.0	0.0	1077.0	0.0	17.0	0.0	0.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Thermodesulfovibrionia; D_3__uncultured
OTU_2	0.0	0.0	47.0	0.0	4996.0	1.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Gammaproteobacteria Incertae Sedis; D_4__Unknown Family
OTU_296	0.0	0.0	0.0	0.0	0.0	0.0	362.0	0.0	D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Woesebacteria
OTU_224	2.0	0.0	0.0	0.0	0.0	0.0	0.0	356.0	Unassigned
OTU_8	6.0	0.0	0.0	1.0	0.0	0.0	6983.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteria; D_3__OPB56
OTU_394	0.0	0.0	247.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae
OTU_178	0.0	11.0	0.0	484.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Elusimicrobia; D_2__Endomicrobia; D_3__Endomicrobiales; D_4__Endomicrobiaceae; D_5__Candidatus Endomicrobium; D_6__uncultured bacterium
OTU_22	0.0	4.0	5.0	0.0	2196.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Hyphomicrobiaceae; D_5__Pedomicrobium
OTU_3896	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Patescibacteria; D_2__Saccharimonadia; D_3__Saccharimonadales; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_120	0.0	0.0	3.0	0.0	517.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria
OTU_31	0.0	0.0	0.0	0.0	0.0	0.0	3236.0	1.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteria; D_3__Ignavibacteriales
OTU_595	0.0	0.0	4.0	0.0	59.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Rhodocyclaceae; D_5__Sulfuritalea
OTU_5	0.0	2.0	10.0	0.0	0.0	7258.0	0.0	1470.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales
OTU_2167	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Unassigned
OTU_3644	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	Unassigned
OTU_912	0.0	0.0	113.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Cellvibrionales; D_4__Halieaceae; D_5__OM60(NOR5) clade
OTU_125	0.0	0.0	788.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Frankiales; D_4__Sporichthyaceae; D_5__hgcI clade; D_6__uncultured bacterium
OTU_340	387.0	12.0	0.0	0.0	0.0	0.0	0.0	5.0	D_0__Bacteria; D_1__Omnitrophicaeota; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_27	165.0	0.0	6.0	0.0	6.0	3929.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Sphingomonadales; D_4__Sphingomonadaceae; D_5__Sphingopyxis
OTU_425	0.0	0.0	0.0	0.0	0.0	0.0	167.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Peptococcaceae; D_5__Thermincola
OTU_128	38.0	793.0	0.0	274.0	0.0	37.0	0.0	69.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Thermodesulfovibrionia; D_3__uncultured
OTU_21	0.0	0.0	97.0	4117.0	0.0	0.0	5.0	0.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Thermodesulfovibrionia; D_3__uncultured; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_18	0.0	2.0	43.0	763.0	3826.0	0.0	0.0	12.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Reyranellales; D_4__Reyranellaceae; D_5__Reyranella
OTU_29	966.0	2371.0	0.0	2.0	1.0	10.0	0.0	143.0	Unassigned
OTU_39	31.0	0.0	349.0	2.0	1411.0	2.0	2.0	4.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae
OTU_94	0.0	0.0	0.0	0.0	0.0	0.0	1136.0	1.0	D_0__Bacteria; D_1__Chloroflexi; D_2__Anaerolineae; D_3__Anaerolineales; D_4__Anaerolineaceae; D_5__uncultured
OTU_4042	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	Unassigned
OTU_4	0.0	0.0	0.0	7638.0	0.0	0.0	10.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Peptococcaceae
OTU_11	17.0	0.0	0.0	500.0	0.0	20.0	5523.0	1.0	D_0__Bacteria; D_1__Acetothermia; D_2__Acetothermiia
OTU_10	1882.0	44.0	177.0	3.0	2.0	4307.0	5.0	3.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Caulobacterales; D_4__Caulobacteraceae; D_5__Brevundimonas
OTU_248	0.0	0.0	0.0	306.0	0.0	0.0	45.0	0.0	D_0__Bacteria; D_1__Chloroflexi; D_2__Anaerolineae; D_3__SBR1031; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
OTU_512	0.0	0.0	0.0	136.0	0.0	18.0	0.0	0.0	Unassigned
OTU_762	0.0	33.0	0.0	97.0	0.0	23.0	0.0	9.0	Unassigned
OTU_98	0.0	0.0	51.0	0.0	747.0	0.0	0.0	2.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Xanthobacteraceae; D_5__uncultured
OTU_1497	93.0	0.0	1515.0	2.0	0.0	0.0	0.0	6.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae
OTU_1279	69.0	0.0	14.0	0.0	2.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Acidobacteria; D_2__Subgroup 6
OTU_1198	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rickettsiales; D_4__SM2D12
OTU_48	2.0	25.0	1.0	25.0	0.0	0.0	2258.0	0.0	D_0__Bacteria; D_1__Omnitrophicaeota
OTU_506	11.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	D_0__Bacteria; D_1__Patescibacteria; D_2__Parcubacteria
OTU_164	0.0	0.0	690.0	0.0	1.0	0.0	0.0	1.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Frankiales; D_4__Sporichthyaceae
OTU_404	219.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Coxiellales; D_4__Coxiellaceae; D_5__Coxiella
OTU_194	0.0	0.0	15.0	0.0	282.0	147.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Hyphomicrobiaceae; D_5__Hyphomicrobium
OTU_5592	0.0	0.0	18.0	0.0	13.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Legionellales; D_4__Legionellaceae; D_5__Legionella
OTU_509	114.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Sphingobacteriales; D_4__Sphingobacteriaceae; D_5__Sphingobacterium
OTU_1910	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Acidobacteria; D_2__Blastocatellia (Subgroup 4); D_3__Blastocatellales; D_4__Blastocatellaceae; D_5__Blastocatella
OTU_217	31.0	403.0	0.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Candidatus Falkowbacteria
OTU_64	40.0	0.0	0.0	1282.0	0.0	42.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Parvibaculales; D_4__Parvibaculaceae; D_5__Parvibaculum
OTU_139	0.0	0.0	1.0	751.0	0.0	0.0	1.0	0.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteria; D_3__Ignavibacteriales
OTU_2132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	D_0__Bacteria; D_1__Elusimicrobia; D_2__Elusimicrobia; D_3__Lineage IV
OTU_107	0.0	0.0	0.0	1179.0	0.0	0.0	288.0	0.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Peptococcaceae; D_5__Desulfurispora
OTU_574	116.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	Unassigned
OTU_2403	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__R7C24
OTU_345	0.0	0.0	0.0	0.0	145.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Legionellales; D_4__Legionellaceae; D_5__Legionella
OTU_4988	0.0	0.0	3.0	345.0	33.0	0.0	0.0	0.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae
