	D1	D3	WC	D5	SW	D4	D6	D2
D1	0.0	0.476160275119	0.55883010452	0.486220808383	0.597320319903	0.527267173745	0.673912802366	0.421435151515
D3	0.476160275119	0.0	0.73437308296	0.560934286074	0.764889964538	0.692073833965	0.644102637699	0.441912766588
WC	0.55883010452	0.73437308296	0.0	0.588110658553	0.473371322651	0.519547426931	0.675396808939	0.614772926678
D5	0.486220808383	0.560934286074	0.588110658553	0.0	0.590794593125	0.503869135092	0.541991520901	0.462611016674
SW	0.597320319903	0.764889964538	0.473371322651	0.590794593125	0.0	0.521497639994	0.690949546445	0.652303858089
D4	0.527267173745	0.692073833965	0.519547426931	0.503869135092	0.521497639994	0.0	0.678002723861	0.577518914644
D6	0.673912802366	0.644102637699	0.675396808939	0.541991520901	0.690949546445	0.678002723861	0.0	0.582532628624
D2	0.421435151515	0.441912766588	0.614772926678	0.462611016674	0.652303858089	0.577518914644	0.582532628624	0.0
