	D1	D3	WC	D5	SW	D4	D6	D2
D1	0.0	0.669560280029	0.809178385898	0.810665537048	0.863645671323	0.815508407086	0.839170803622	0.627755999331
D3	0.669560280029	0.0	0.869793857951	0.742244647153	0.859762498214	0.758553558335	0.752436494713	0.591973149906
WC	0.809178385898	0.869793857951	0.0	0.910923136012	0.863566778722	0.922056632157	0.924257504203	0.82935203257
D5	0.810665537048	0.742244647153	0.910923136012	0.0	0.811227537359	0.614649813397	0.730101733375	0.780527070572
SW	0.863645671323	0.859762498214	0.863566778722	0.811227537359	0.0	0.80764290087	0.84031179098	0.842257538156
D4	0.815508407086	0.758553558335	0.922056632157	0.614649813397	0.80764290087	0.0	0.721780527403	0.786938068163
D6	0.839170803622	0.752436494713	0.924257504203	0.730101733375	0.84031179098	0.721780527403	0.0	0.805430282464
D2	0.627755999331	0.591973149906	0.82935203257	0.780527070572	0.842257538156	0.786938068163	0.805430282464	0.0
