AB	0	0
AC	3	0.061503635879983
AC+AD	3	0.061503635879983
AD	59	0.552327335348065
AE	14	0.168483002276605
AE+AF	12	0.158275068754529
AF	38	0.395883295211851
M	6	0.0488178615545466
M+N	3	0.0103210833911967
M+O	0	0
N	21	0.191307221938834
O	0	0
P	16	0.209848344408192
P+Q	2	0.00340976320406447
Q	2	0.00340976320406447
R	6	0.113364485780661
R+S	4	0.0109565629584308
S	27	0.269646124294162
T	0	0
T+U	0	0
U	35	0.395189229434458
V	0	0
V+W	0	0
W	39	0.558100628629125
X	23	0.221769202428334
X+Y	9	0.0511942256713158
Y	45	0.531055585810734
Z	3	0.00474947719354871
Z+AB	0	0
