	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_5500_0.txt	5500	0	100.45899	60.77128	146.9697	39.9699	35.95071	30.74493	26.4496	67.6006
alpha_rarefaction_5500_1.txt	5500	1	97.88857	61.79616	150.42882	41.30491	34.0516	29.79772	25.8213	65.40197
alpha_rarefaction_5500_2.txt	5500	2	101.33742	61.39899	149.45209	41.90445	35.99451	27.10463	28.45265	68.04316
alpha_rarefaction_5500_3.txt	5500	3	95.93382	59.35101	147.50385	40.45508	34.93138	29.16098	26.11867	66.09277
alpha_rarefaction_5500_4.txt	5500	4	99.82329	62.44896	150.82524	40.02055	32.84616	28.46337	26.38851	67.42814
alpha_rarefaction_5500_5.txt	5500	5	99.37725	62.49488	152.5787	40.8661	33.87111	29.72432	27.34755	66.96856
alpha_rarefaction_5500_6.txt	5500	6	99.60573	61.52198	148.63777	40.06975	35.38817	29.22272	27.17418	69.66575
alpha_rarefaction_5500_7.txt	5500	7	100.5022	61.92923	148.59666	41.98416	33.68985	29.34283	29.06802	66.41083
alpha_rarefaction_5500_8.txt	5500	8	96.92344	61.49515	150.46781	41.08261	33.79256	30.34268	26.80051	66.0113
alpha_rarefaction_5500_9.txt	5500	9	99.49642	61.28543	151.94929	39.73293	34.48419	27.9251	26.18717	68.63472
alpha_rarefaction_6500_0.txt	6500	0	108.36298	62.28486	161.9234	42.5256	35.25378	29.56638	26.70698	69.56394
alpha_rarefaction_6500_1.txt	6500	1	103.31414	63.45927	158.23609	40.69601	36.19584	29.57907	26.44663	68.93702
alpha_rarefaction_6500_2.txt	6500	2	104.11794	64.15793	158.4902	42.3321	33.92606	30.90349	28.16631	71.01108
alpha_rarefaction_6500_3.txt	6500	3	101.31417	67.98562	163.25364	40.72542	34.50531	29.31748	27.44873	70.64254
alpha_rarefaction_6500_4.txt	6500	4	99.70347	65.31867	162.71043	39.36466	35.43447	29.58472	26.32698	70.32483
alpha_rarefaction_6500_5.txt	6500	5	103.73875	63.83794	158.85816	41.11341	36.0102	28.46045	27.03862	72.01882
alpha_rarefaction_6500_6.txt	6500	6	101.4806	66.35225	159.65968	41.30136	35.73958	30.15417	27.83826	70.73068
alpha_rarefaction_6500_7.txt	6500	7	104.9352	65.64585	160.39225	40.65958	35.77189	27.77739	29.53102	69.19671
alpha_rarefaction_6500_8.txt	6500	8	102.24101	63.69007	159.16546	41.61647	37.4343	29.74702	28.11622	68.16744
alpha_rarefaction_6500_9.txt	6500	9	102.21085	63.32896	164.75797	39.22719	35.16127	30.7215	27.32684	69.04957
alpha_rarefaction_7500_0.txt	7500	0	106.3425	65.24465	170.61158	41.25314	37.1402	30.82186	28.09275	70.90094
alpha_rarefaction_7500_1.txt	7500	1	105.27959	66.14028	170.34368	41.83723	35.71684	31.65994	28.02677	72.26981
alpha_rarefaction_7500_2.txt	7500	2	104.81323	66.36136	166.90611	41.94558	36.3419	30.887	30.15294	72.6535
alpha_rarefaction_7500_3.txt	7500	3	106.26623	65.68408	168.22585	40.74133	37.17188	30.99506	29.31292	69.46308
alpha_rarefaction_7500_4.txt	7500	4	106.82236	64.59007	168.1446	42.54113	35.27257	31.03084	29.23877	71.27958
alpha_rarefaction_7500_5.txt	7500	5	106.46501	65.17899	168.83852	41.71798	36.33083	30.59722	29.44505	71.8551
