	sequences per sample	iteration	D1	D3	WC	D5	SW	D4	D6	D2
alpha_rarefaction_4500_6.txt	4500	6	1123.4	561.197368421	2808.08303249	287.675675676	465.454545455	214.428571429	271.0	724.777777778
alpha_rarefaction_4500_7.txt	4500	7	1070.18666667	576.5	2765.96551724	303.170731707	504.171428571	230.222222222	238.107142857	742.036585366
alpha_rarefaction_4500_8.txt	4500	8	1031.0	606.794117647	2961.33703704	296.657894737	421.238095238	243.869565217	286.785714286	714.181818182
alpha_rarefaction_4500_9.txt	4500	9	1060.84146341	516.285714286	2787.6584507	278.136363636	393.448979592	199.533333333	241.363636364	724.217391304
alpha_rarefaction_5500_0.txt	5500	0	1076.96875	563.346153846	3046.48464164	292.684210526	411.365853659	222.228571429	298.647058824	786.397590361
alpha_rarefaction_5500_1.txt	5500	1	1047.98224852	591.039473684	3052.290625	316.026315789	484.125	232.517241379	248.5	693.32183908
alpha_rarefaction_5500_2.txt	5500	2	1101.12690355	579.1375	3299.24175824	308.5	492.552631579	189.517241379	289.652173913	804.012345679
alpha_rarefaction_5500_3.txt	5500	3	995.401197605	575.2	2895.30841121	297.977272727	434.065217391	253.0	250.0	715.012345679
alpha_rarefaction_5500_4.txt	5500	4	1065.68965517	749.632653061	3193.02040816	297.571428571	389.942307692	208.129032258	265.0	732.875
alpha_rarefaction_5500_5.txt	5500	5	1107.98324022	541.010989011	3237.75	313.0	436.0	225.774193548	264.0	678.473684211
alpha_rarefaction_5500_6.txt	5500	6	1088.63473054	561.5	2916.75975976	300.0	432.019230769	235.0	235.774193548	811.904109589
alpha_rarefaction_5500_7.txt	5500	7	1027.68108108	613.388888889	3148.8125	309.0	398.87755102	251.384615385	289.652173913	682.108695652
alpha_rarefaction_5500_8.txt	5500	8	1070.63473054	563.304347826	3304.76510067	287.5	425.022727273	220.41025641	251.416666667	654.40625
alpha_rarefaction_5500_9.txt	5500	9	1181.13907285	593.041666667	3168.00923077	284.523809524	455.428571429	210.533333333	281.181818182	745.735632184
alpha_rarefaction_6500_0.txt	6500	0	1188.21808511	629.923076923	3077.75531915	310.5	443.319148936	222.029411765	262.24	717.660194175
alpha_rarefaction_6500_1.txt	6500	1	1067.64397906	581.280487805	3149.61702128	303.416666667	421.862068966	204.027027027	236.75	757.154639175
alpha_rarefaction_6500_2.txt	6500	2	1119.95808383	629.0	3207.08187135	300.441176471	471.117647059	248.677419355	264.0	751.15
alpha_rarefaction_6500_3.txt	6500	3	1094.98224852	619.968085106	3252.06	315.041666667	401.565217391	214.451612903	260.344827586	780.538461538
alpha_rarefaction_6500_4.txt	6500	4	1071.36969697	616.846153846	3278.23976608	278.5	449.204081633	206.941176471	258.619047619	807.148148148
alpha_rarefaction_6500_5.txt	6500	5	1155.31288344	572.517241379	3214.26	302.363636364	458.392857143	212.25	256.0	771.15
alpha_rarefaction_6500_6.txt	6500	6	1070.52095808	606.1375	3139.34146341	301.117647059	502.756756757	225.5	251.363636364	724.063157895
alpha_rarefaction_6500_7.txt	6500	7	1164.82352941	584.172043011	3230.4028169	294.028571429	421.837209302	213.875	305.285714286	699.117021277
alpha_rarefaction_6500_8.txt	6500	8	1095.55900621	593.608108108	3327.515625	319.941176471	457.037735849	216.75	273.0	718.011111111
alpha_rarefaction_6500_9.txt	6500	9	1066.96610169	607.313432836	3428.01729107	271.583333333	421.375	225.2	281.384615385	691.311111111
alpha_rarefaction_7500_0.txt	7500	0	1092.74731183	614.616438356	3233.49635036	301.323529412	505.783783784	229.5	269.565217391	772.75862069
alpha_rarefaction_7500_1.txt	7500	1	1175.93063584	618.779069767	3289.18112245	313.037037037	474.477272727	232.137931034	306.0	731.121212121
alpha_rarefaction_7500_2.txt	7500	2	1172.42424242	634.6875	3243.47989276	300.454545455	476.046511628	254.0	303.2	785.625
alpha_rarefaction_7500_3.txt	7500	3	1100.78074866	599.202531646	3491.16066482	309.333333333	472.217391304	228.444444444	322.0	717.120481928
alpha_rarefaction_7500_4.txt	7500	4	1118.90909091	600.418918919	3374.65968586	313.441176471	438.942307692	271.5	319.307692308	726.6875
alpha_rarefaction_7500_5.txt	7500	5	1099.85082873	588.240963855	3423.3197832	296.5	444.942307692	221.896551724	258.526315789	757.010526316
alpha_rarefaction_7500_6.txt	7500	6	1120.25966851	606.535714286	3264.64444444	341.285714286	443.136363636	232.689655172	304.24137931	791.0
alpha_rarefaction_7500_7.txt	7500	7	1135.42857143	618.151898734	3486.5974026	312.037037037	494.317073171	234.807692308	267.135135135	777.009803922
alpha_rarefaction_7500_8.txt	7500	8	1137.44571429	595.363636364	3409.90983607	304.763157895	460.065217391	212.571428571	253.181818182	757.617977528
alpha_rarefaction_7500_9.txt	7500	9	1165.21088435	567.761904762	3539.66497462	302.0	463.068181818	244.37037037	276.303030303	795.212121212
alpha_rarefaction_8500_0.txt	8500	0	1210.7791411	609.764044944	3478.55263158	322.157894737	415.472727273	222.0	313.125	810.838709677
alpha_rarefaction_8500_1.txt	8500	1	1148.31081081	626.517241379	3314.40661939	347.8	460.82	233.137931034	270.903225806	817.93814433
alpha_rarefaction_8500_2.txt	8500	2	1134.83928571	607.666666667	3539.0	310.551724138	454.886792453	233.972972973	261.5	751.05
alpha_rarefaction_8500_3.txt	8500	3	1170.55307263	596.403846154	3671.77751196	301.444444444	478.2	225.181818182	244.730769231	806.172413793
