site,genome,domain,phylum,class,order,family,genus,species
D2,11,Bacteria,Omnitrophota,koll11,1-14-0-20-42-13,NA,NA,NA
D2,87,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,NA
D2,40,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,NA
D2,20,Bacteria,Omnitrophota,koll11,UBA1572,NA,NA,NA
D2,59,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,NA
D2,66,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,NA
D2,49,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,GCA-002774445,NA
D2,68,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,GCA-002774445,NA
D2,5,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,NA,NA
D2,44,Bacteria,Omnitrophota,koll11,UBA10183,UBA10183,UBA10183,NA
D2,72,Bacteria,Omnitrophota,4484-49,NA,NA,NA,NA
D2,79,Bacteria,Eisenbacteria,RBG-16-71-46,NA,NA,NA,NA
D2,100,Bacteria,UBP1,PRR-12,LZORAL124-64-63,LZORAL124-64-63,um-filter-65-15,NA
D2,74,Bacteria,Zixibacteria,MSB-5A5,NA,NA,NA,NA
D2,93,Bacteria,Zixibacteria,MSB-5A5,NA,NA,NA,NA
D2,6,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,Zixibacteria-1,NA,NA
D2,96,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,NA,NA,NA
D2,39,Bacteria,Zixibacteria,MSB-5A5,NA,NA,NA,NA
D2,37,Bacteria,Zixibacteria,MSB-5A5,NA,NA,NA,NA
D2,4,Bacteria,Bacteroidota,UBA10030,UBA10030,NA,NA,NA
D2,67,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,NA,NA
D2,22,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,UBA9647,NA
D2,56,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,navibacteriae-3,NA
D2,18,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,UBA1563,NA
D2,36,Bacteria,AABM5-125-24,AABM5-125-24,NA,NA,NA,NA
D2,58,Bacteria,Latescibacterota,UBA2968,UBA8231,NA,NA,NA
D2,28,Bacteria,Planctomycetota,UBA8742,NA,NA,NA,NA
D2,94,Bacteria,Planctomycetota,Brocadiae,NA,NA,NA,NA
D2,80,Bacteria,Planctomycetota,Brocadiae,SM23-32,NA,NA,NA
D2,2,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,UBA1845,NA,NA
D2,9,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,NA,NA,NA
D2,57,Bacteria,Acidobacteriota,Luteitaleia,NA,NA,NA,NA
D2,88,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,UBA5066,NA,NA
D2,53,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,UBA2262,NA
D2,17,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,NA,NA
D2,81,Bacteria,Desulfobacterota,Desulfobulbia,NA,NA,NA,NA
D2,32,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,BuS5,NA,NA
D2,83,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae_A,NA,NA
D2,95,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae_A,NA,NA
D2,31,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,YD0425bin50,NA,NA
D2,97,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,NA,NA
D2,10,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,NA,NA
D2,24,Bacteria,Desulfobacterota,Desulfarculia,Adiutricales,NA,NA,NA
D2,45,Bacteria,Desulfobacterota,Desulfobaccia,RBG-13-43-22,NA,NA,NA
D2,51,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,CG2-30-49-12,CG2-30-49-12,NA
D2,89,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA5619,UBA5619,NA
D2,70,Bacteria,UBA10199,UBA10199,GCA-002796325,1-14-0-20-49-13,NA,NA
D2,63,Bacteria,UBA10199,UBA10199,GCA-002796325,1-14-0-20-49-13,NA,NA
D2,8,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27,NA
D2,54,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,RBG-16-64-85,NA
D2,64,Bacteria,MBNT15,MBNT15,MBNT15,NA,NA,NA
D2,3,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,NA,NA
D2,73,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,NA,NA
D2,47,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,NA,NA
D2,13,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,NA,NA
D2,12,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,NA,NA
D2,1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,NA
D2,99,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,NA
