site,genome,domain,phylum,class,order,family,genus,species
D5,18,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,NA,NA
D5,37,Bacteria,Patescibacteria,Paceibacteria,UBA6257,NA,NA,NA
D5,41,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Brennerbacteraceae,NA,NA
D5,43,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA9983,NA,NA
D5,31,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,NA,NA
D5,22,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,GBS-2,NA,NA
D5,21,Bacteria,Patescibacteria,ABY1,GCA-002771165,NA,NA,NA
D5,10,Bacteria,Eremiobacterota,Eremiobacteria,Eremiobacterales,NA,NA,NA
D5,16,Bacteria,Bipolaricaulota,Bipolaricaulia,Bipolaricaulales,Bipolaricaulaceae,Bipolaricaulis,NA
D5,58,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,NA,NA
D5,5,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,NA,NA
D5,59,Bacteria,Actinobacteriota,UBA9087,UBA10029,UBA10029,UBA10029,NA
D5,36,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,BRHc4a,NA,NA
D5,3,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,NA,NA,NA
D5,38,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,NA,NA
D5,7,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,NA,NA
D5,25,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D5,9,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,NA
D5,20,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,NA
D5,14,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D5,15,Bacteria,Omnitrophota,koll11,NA,NA,NA,NA
D5,33,Bacteria,UBA9089,UBA9088,UBA9088,NA,NA,NA
D5,42,Bacteria,Elusimicrobiota,Endomicrobia,Elusimicrobia-1,Elusimicrobia-1,Elusimicrobia-1,NA
D5,39,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,UBA2231,NA
D5,8,Bacteria,Gemmatimonadota,GCA-2686955,NA,NA,NA,NA
D5,30,Bacteria,UBP1,PRR-12,NA,NA,NA,NA
D5,6,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,NA
D5,4,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,UBA2336,NA
D5,12,Bacteria,Planctomycetota,Brocadiae,NA,NA,NA,NA
D5,27,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Didemnitutus,NA
D5,26,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,NA,NA
D5,56,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,NA,NA
D5,29,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,RBG-16-49-23,NA
D5,28,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,NA,NA
D5,19,Bacteria,Desulfobacterota,BSN033,UBA8473,UBA8473,UBA8473,NA
D5,11,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,NA,NA
D5,34,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,NA,NA
D5,1,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA9935,NA,NA
D5,13,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,Parvibaculum,NA
D5,49,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
D5,47,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,NA,NA
D5,52,Bacteria,Proteobacteria,Gammaproteobacteria,UBA5335,UBA5335,NA,NA
D5,24,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,NA
D5,48,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,NA,NA
D5,40,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,UBA2250,NA
D5,23,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,NA,NA
D5,53,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,NA,NA
D5,55,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA
D5,2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Ketobacteraceae,NA,NA
D6,31,Bacteria,UBP1,PRR-12,SSS58A,SSS58A,SSS58A,GCA_002403075.1
D6,66,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,UBA6170 sp1
D6,37,Bacteria,Chloroflexota,Dehalococcoidia,Dehalococcoidales,UBA3254,NA,NA
D6,85,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,NA,NA
D6,70,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,NA,NA
D6,15,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,OLB14,NA
D6,11,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,UBA8950,NA
D6,16,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,NA
D6,96,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,NA
D6,69,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,NA
D6,60,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,NA
D6,33,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA8523,NA
D6,87,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA8523,NA
D6,83,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA5211,NA
D6,74,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA5211,NA
D6,97,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,NA
D6,46,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,NA
D6,27,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA6092,NA,NA
D6,43,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,RBG-16-57-11,NA
D6,56,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,NA,NA
D6,61,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,NA,NA
D6,45,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11579,UBA11579,NA
D6,99,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA11579,UBA11579,NA
D6,98,Bacteria,Chloroflexota,Anaerolineae,SBR1031,UBA2029,NA,NA
D6,89,Bacteria,Chloroflexota,NA,NA,NA,NA,NA
D6,39,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,UBA12405,NA,NA
D6,54,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,Um-filter-40-11,NA,NA
D6,78,Bacteria,Patescibacteria,Microgenomatia,Shapirobacterales,Um-filter-40-11,NA,NA
D6,59,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Woesebacteraceae,GWC1-37-12b,NA
D6,57,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Woesebacteraceae,GWB1-39-10,NA
D6,63,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Woesebacteraceae,NA,NA
D6,50,Bacteria,Patescibacteria,Microgenomatia,Woykebacterales,NA,NA,NA
D6,44,Bacteria,Patescibacteria,WWE3,UBA101185,UBA10185,OXYD1-FULL-39-9,NA
D6,38,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,GWA2-45-9,NA
D6,41,Bacteria,Patescibacteria,Paceibacteria,UBA6257,Jorgensenbacteraceae,NA,NA
D6,76,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Campbellbacteraceae,UBA12079,NA
D6,47,Bacteria,Patescibacteria,ABY1,UBA10025,NA,NA,NA
D6,30,Bacteria,Eremiobacterota,NA,NA,NA,NA,NA
D6,81,Bacteria,Bipolaricaulota,Bipolaricaulia,Bipolaricaulales,Bipolaricaulaceae,Bipolaricaulis,NA
D6,8,Bacteria,Actinobacteriota,RBG-13-55-18,RBG-13-55-18,RBG-13-55-18,NA,NA
D6,22,Bacteria,Armatimonadota,NA,NA,NA,NA,NA
D6,100,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,UBA8154,UBA9862,NA
D6,36,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,UBA8154,UBA9862,NA
D6,34,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,UBA8154,UBA9862,NA
D6,25,Bacteria,Firmicutes_D,Dethiobacteria,DTU022,DTU022,NA,NA
D6,7,Bacteria,Firmicutes,Bacilli,Acholeplasmatales,Acholeplasmataceae,UBA2284,NA
D6,24,Bacteria,Firmicutes,Alicyclobacillia,Tumebacillales,Effusibacillaceae,NA,NA
D6,82,Bacteria,Firmicutes_B,Thermincolia,Thermincolales,UBA2595,NA,NA
D6,49,Bacteria,Firmicutes_B,Desulfotomaculia,Desulfotomaculales,BRHc4a,NA,NA
D6,19,Bacteria,Firmicutes_B,Desulfotomaculia,Ammonifexales,Ammonificaceae,NA,NA
D6,80,Bacteria,Firmicutes_E,UBA3569,NA,NA,NA,NA
D6,71,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,NA,NA
D6,88,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,NA,NA
D6,51,Bacteria,Firmicutes_E,DTU015,UBA995,NA,NA,NA
D6,62,Bacteria,Firmicutes_E,DTU015,UBA8153,UBA8153,NA,NA
D6,77,Bacteria,Firmicutes_E,DTU015,UBA8153,NA,NA,NA
D6,23,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D6,26,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,NA,NA
D6,5,Bacteria,UBA3054,UBA3054,NA,NA,NA,NA
D6,65,Bacteria,Elusimicrobiota,Elusimicrobia,Elusimicrobiales,UBA9959,UBA2231,NA
D6,42,Bacteria,Gemmatimonadota,GCA-2686955,NA,NA,NA,NA
D6,48,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,Zixibacteria-1,NA,NA
D6,28,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,NA,NA
D6,86,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,XYB12-FULL-38-5,NA
D6,10,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,NA,NA
D6,3,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,NA,NA
D6,29,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,NA,NA
D6,2,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,NA,NA
D6,35,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,XYC2-FULL-35-21,NA,NA
D6,55,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,NA,NA
D6,9,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA6192,NA
D6,4,Bacteria,OLB16,OLB16,NA,NA,NA,NA
D6,58,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,NA,NA,NA
D6,73,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,PLanc-01,NA
D6,1,Bacteria,Planctomycetota,NA,NA,NA,NA,NA
D6,14,Bacteria,Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,GWF1-51-8,NA
D6,32,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,NA,NA
D6,68,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,NA
D6,94,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,NA
D6,91,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,NA
D6,92,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,NA,NA
D6,75,Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,NA,NA
D6,6,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,HGW-15,NA
D6,18,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,HGW-15,NA,NA
D6,40,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglanales,CG2-30-51-40,CG2-30-51-40,NA
D6,12,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA2245,NA,NA
D6,20,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,20-14-all-51-8,NA,NA
D6,93,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,NA
D6,67,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,NA
D6,21,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,NA,NA
D6,79,Bacteria,Desulfobacterota,Desulfarculia,Desulfarculales,Desulfarculaceae,NA,NA
D6,95,Bacteria,Desulfobacterota,Desulfarculia,Desulfarculales,Desulfarculaceae,NA,NA
D6,84,Bacteria,Desulfobacterota,Desulfarculia,Desulfarculales,Desulfarculaceae,NA,NA
D6,13,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,NA,NA
D6,17,Bacteria,Desulfobacterota,BSN033,BSN033,UBA1163,RBG-16-49-23,NA
D6,72,Bacteria,Desulfobacterota,BSN033,UBA8473,UBA8473,UBA8473,NA
D6,64,Bacteria,Desulfobacterota,JdFR-97,JdFR-97,JdFR-97,NA,NA
D6,90,Bacteria,Deferrisomatota,Deferrisomatia,Deferrisomatales,Deferrisomataceae,NA,NA
D6,52,Bacteria,Myxococcota,UBA1671,NA,NA,NA,NA
D6,53,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Sulfuricellaceae,UBA2239,NA
SW,60,Bacteria,Proteobacteria,Gammaproteobacteria,UBA5335,UBA5335,UBA5335,GCA_002862435.1
SW,47,Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Nucleicultricaceae,Nucleicultrix,Nucleicultrix amoebiphila
SW,92,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,Aquabacterium parvum
SW,81,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,UBA6488,GCA_002083555.1
SW,93,Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Nucleicultricaceae,Nucleicultrix,Nucleicultrix amoebiphila
SW,23,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,Vermiphilus,Vermiphilus pyriformis
SW,75,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,OLB14,NA
SW,34,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,GWA1-54-10,NA
SW,85,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Microbacteriaceae,UBA1487,NA
SW,12,Bacteria,Cyanobacteriota,Vampirovibrionia,Caenarcaniphilales,2-02-FULL-35-15,NA,NA
SW,4,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,Ga0077546,NA
SW,5,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,NA,NA
SW,68,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,NA,NA
SW,9,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,Obscuribacteraceae,NA,NA
SW,20,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,NA,NA,NA
SW,21,Bacteria,Cyanobacteriota,Vampirovibrionia,Obscuribacterales,NA,NA,NA
SW,88,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,21-14-0-20-64-6,NA
SW,29,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,Kapabacteriaceae,NA,NA
SW,8,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,NA,NA,NA
SW,48,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,UBA9320,NA,NA
SW,66,Bacteria,Bacteroidota,Bacteroidia,NS11-12g,NA,NA,NA
SW,35,Bacteria,Bacteroidota,Bacteroidia,AKYH767,2-12-FULL-35-15,2-12-FULL-35-15,NA
SW,52,Bacteria,Bacteroidota,Bacteroidia,AKYH767,2-12-FULL-35-15,NA,NA
SW,6,Bacteria,Bacteroidota,Bacteroidia,AKYH767,GCA-2737665,NA,NA
SW,77,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UTBCD1,NA
SW,89,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,NA
SW,43,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Planctomycetaceae,NA,NA
SW,38,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Planctomycetaceae,NA,NA
SW,64,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Thermoguttaceae,NA,NA
SW,62,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,NA,NA
SW,79,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,UBA7805,NA,NA
SW,37,Bacteria,Planctomycetota,Planctomycetes,Gemmatales,Gemmataceae,NA,NA
SW,45,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,SM1A02,UBA11155,NA
SW,7,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Ga0074140,NA,NA
SW,40,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Ga0074140,NA,NA
SW,18,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,NA,NA
SW,13,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,NA,NA
SW,54,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,NA,NA
SW,11,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,Parachlamydiaceae,NA,NA
SW,28,Bacteria,Verrucomicrobiota,Chlamydiia,Parachlamydiales,NA,NA,NA
SW,74,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,NA,NA
SW,70,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,NA,NA,NA
SW,55,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,NA
SW,49,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,NA
SW,44,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,NA
SW,84,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,NA
SW,22,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,NA
SW,56,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,NA,NA
SW,71,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,NA,NA
SW,41,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,NA
SW,90,Bacteria,Acidobacteriota,Luteitaleia,NA,NA,NA,NA
SW,58,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,OLB17,NA
SW,59,Bacteria,Dadabacteria,UBA1144,UBA2774,UBA2774,NA,NA
SW,36,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,UBA6488,NA
SW,30,Bacteria,Bdellovibrionota,Bacteriovoracia,UBA1018,UBA1018,NA,NA
SW,67,Bacteria,Bdellovibrionota,Bacteriovoracia,UBA1018,UBA1018,NA,NA
SW,82,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,NA,NA
SW,87,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,NA,NA
SW,78,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,NA,NA
SW,16,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,NA,NA,NA
SW,76,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,UBA6177,NA,NA
SW,32,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
SW,3,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
SW,2,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,NA
SW,65,Bacteria,Proteobacteria,Alphaproteobacteria,SL26,SL26,UBA11222,NA
SW,50,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,NA,NA
SW,61,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,NA
SW,15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Ga0077548,NA
SW,91,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhabdus,NA
SW,46,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,NA
SW,86,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,NA
SW,69,Bacteria,Proteobacteria,Alphaproteobacteria,UBA9655,UBA9655,UBA9655,NA
SW,33,Bacteria,Proteobacteria,Alphaproteobacteria,UBA9655,UBA9655,NA,NA
SW,26,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077554,Ga007554,Ga0077554,NA
SW,24,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SG8-41,Ga0077527,NA
SW,63,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SG8-41,NA,NA
SW,1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera_A,NA
SW,57,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Hylemonella,NA
SW,17,Bacteria,Proteobacteria,Gammaproteobacteria,Berkiellales,UBA6186,NA,NA
SW,19,Bacteria,Proteobacteria,Gammaproteobacteria,Berkiellales,Berkiellaceae,Berkiella,NA
SW,10,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,NA,NA,NA
SW,14,Bacteria,Proteobacteria,Gammaproteobacteria,UBA1113,UBA1113,NA,NA
SW,25,Bacteria,Proteobacteria,Gammaproteobacteria,UBA1113,NA,NA,NA
SW,53,Bacteria,Proteobacteria,Gammaproteobacteria,UBA6002,UBA6002,UBA6002,NA
SW,42,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,UBA11403,NA
SW,27,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,NA,NA
SW,39,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
SW,73,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
SW,80,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,NA
SW,31,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella_B,NA
SW,83,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,NA,NA,NA
SW,72,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,HB2-32-21,NA
SW,51,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,NA,NA
WC,52,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
WC,13,Bacteria,Patescibacteria,Microgenomatia,Levybacterales,UBA12049,NA,NA
WC,12,Bacteria,Patescibacteria,Berkelbacteria,NA,NA,NA,NA
WC,24,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Nomurabacteraceae,2-01-FULL-33-17,NA
WC,22,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA1006,NA,NA
WC,39,Bacteria,Patescibacteria,Paceibacteria,UBA9983,GCA-2401445,NA,NA
WC,40,Bacteria,Patescibacteria,Paceibacteria,UBA9983,GCA-2401445,NA,NA
WC,30,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Zambryskibacteraceae,UBA910,NA
WC,57,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Zambryskibacteraceae,NA,NA
WC,11,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Zambryskibacteraceae,12-FULL-43-12b,NA
WC,38,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Taylorbacteraceae,NA,NA
WC,43,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Taylorbacteraceae,NA,NA
WC,28,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Taylorbacteraceae,UBA6065,NA
WC,46,Bacteria,Patescibacteria,Paceibacteria,UBA9983,NA,NA,NA
WC,47,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,NA,NA
WC,32,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,1-14-0-10-45-20,NA
WC,14,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,NA,NA
WC,51,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,NA,NA
WC,23,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,UBA10103,NA
WC,15,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,UBA10103,NA
WC,36,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Kaiserbacteraceae,2-01-FULL-51-21,NA
WC,26,Bacteria,Patescibacteria,ABY1,Uhrbacterales,UBA9934,UBA11707,NA
WC,7,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,NA,NA
WC,37,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,NA,NA
WC,25,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,NA,NA
WC,2,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,NA,NA
WC,21,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,NA,NA
WC,19,Bacteria,Patescibacteria,Gracilibacteria,Peribacterales,Peribacteraceae,NA,NA
WC,53,Bacteria,Patescibacteria,Gracilibacteria,BD1-5,UBA6164,GCA-2747975,NA
WC,18,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,NA
WC,50,Bacteria,Actinobacteriota,Actinobacteria,Nanopelagicales,Nanopelagicaceae,Planktophila,NA
